iter	RMSE
324	5743.358824
325	5711.220446
326	5710.363744
327	5702.539533
328	5688.828993
329	5687.631976
330	5671.663465
331	5670.592886
332	5649.05187
333	5647.57359
334	5646.562488
335	5619.562525
336	5618.129323
337	5613.191297
338	5612.170094
339	5593.58027
340	5592.2884
341	5591.333211
342	5590.365378
343	5589.25622
344	5563.707646
345	5562.580841
346	5554.080973
347	5548.759434
348	5547.730983
349	5546.676371
350	5545.699057
351	5544.940466
352	5528.566684
353	5527.62891
354	5526.714276
355	5525.937913
356	5501.509982
357	5500.58738
358	5486.282
359	5485.420177
360	5456.351252
361	5445.00657
362	5444.260208
363	5443.105585
364	5435.694426
365	5420.708929
366	5413.620472
367	5406.356687
368	5405.255715
369	5395.6987
370	5388.51539
371	5374.335396
372	5367.374126
373	5361.344884
374	5358.777697
375	5356.649482
376	5351.377552
377	5343.031143
378	5336.235654
379	5325.812891
380	5320.971084
381	5295.620046
382	5286.572213
383	5267.601187
384	5267.064445
385	5259.399453
386	5258.607548
387	5233.625126
388	5227.696386
389	5226.837727
390	5226.260544
391	5225.871105
392	5215.563309
393	5204.419034
394	5203.682136
395	5202.922513
396	5194.415334
397	5193.7191
398	5175.5571
399	5158.766821
400	5158.083805
401	5136.863783
402	5136.251303
403	5123.91064
404	5115.607843
405	5115.084809
406	5113.831741
407	5113.165747
408	5112.769338
409	5112.103295
410	5110.807217
411	5106.014965
412	5094.293495
413	5093.353907
414	5092.829367
415	5076.200033
416	5075.480456
417	5061.682038
418	5061.050046
419	5060.516856
420	5060.013624
421	5059.442173
422	5058.931023
423	5058.398284
424	5057.697687
425	5057.197728
426	5051.618964
427	5050.760655
428	5040.902516
429	5040.272812
430	5015.938038
431	5008.578841
432	4990.227026
433	4989.649204
434	4989.140985
435	4979.90413
436	4979.245258
437	4976.201053
438	4959.042071
439	4958.542608
440	4950.204569
441	4949.446928
442	4949.023554
443	4948.540391
444	4948.136356
445	4933.471592
446	4923.14193
447	4922.414008
448	4921.978388
449	4919.709313
450	4919.31419
451	4918.951256
452	4911.596171
453	4910.630525
454	4910.079372
455	4897.65732
456	4896.207221
457	4878.537923
458	4869.570705
459	4869.06415
460	4868.665378
461	4866.453286
462	4865.033679
463	4863.928178
464	4863.460566
465	4846.297074
466	4836.508933
467	4829.610934
468	4829.166386
469	4826.825956
470	4816.616204
471	4816.405636
472	4812.97808
473	4807.605873
474	4807.063572
475	4800.078036
476	4793.792443
477	4793.376947
478	4793.055735
479	4772.361476
480	4765.93416
481	4765.629279
482	4763.835284
483	4759.156763
484	4756.283805
485	4745.202526
486	4734.676951
487	4734.430421
488	4731.238084
489	4727.574226
490	4727.281639
491	4719.214007
492	4711.597782
493	4708.756488
494	4701.641777
495	4701.036011
496	4682.076835
497	4681.699
498	4669.98357
499	4651.872636
500	4651.51248
501	4645.816303
502	4639.375135
503	4637.456792
504	4637.200704
505	4627.414327
506	4626.957793
507	4624.830411
508	4618.756323
509	4613.310818
510	4605.221798
511	4604.891727
512	4604.613256
513	4601.063375
514	4591.887365
515	4585.843671
516	4582.257449
517	4576.474013
518	4576.002041
519	4570.536719
520	4561.994477
521	4561.040351
522	4552.803664
523	4550.747511
524	4545.297196
525	4540.277224
526	4525.245736
527	4518.038578
528	4509.183956
529	4507.05873
530	4500.902014
531	4499.50738
532	4498.597596
533	4498.345508
534	4498.079902
535	4494.206863
536	4491.379256
537	4486.748821
538	4482.388149
539	4481.907627
540	4480.379133
541	4477.331981
542	4477.101744
543	4475.0606
544	4471.290245
545	4470.981484
546	4462.798903
547	4454.717054
548	4441.140276
549	4431.476112
550	4427.80712
551	4423.797464
552	4423.506083
553	4422.115698
554	4420.345699
555	4418.298427
556	4417.833833
557	4410.037196
558	4403.753478
559	4395.262979
560	4392.239245
561	4392.046059
562	4391.606434
563	4384.346655
564	4378.318757
565	4371.597568
566	4368.730819
567	4365.926219
568	4363.201086
569	4355.4872
570	4351.769924
571	4349.008402
572	4346.331749
573	4344.694125
574	4339.491393
575	4333.516413
576	4330.04567
577	4323.985064
578	4322.639096
579	4303.538528
580	4297.147344
581	4284.09657
582	4281.522398
583	4275.216126
584	4271.037914
585	4270.851477
586	4259.910838
587	4255.487184
588	4255.30646
589	4242.899258
590	4232.898162
591	4226.469404
592	4226.292509
593	4220.556638
594	4220.324173
595	4211.876388
596	4203.460161
597	4200.397806
598	4198.166183
599	4192.304786
600	4186.433305
601	4180.700796
602	4177.703217
603	4174.007831
604	4169.855162
605	4169.557459
606	4169.267046
607	4157.750832
608	4157.584382
609	4149.756045
610	4147.490978
611	4145.780793
612	4144.843384
613	4135.264611
614	4129.299948
615	4126.78782
616	4125.513918
617	4123.362482
618	4117.543223
619	4112.097192
620	4109.947327
621	4109.753254
622	4107.380832
623	4104.659423
624	4103.375392
625	4099.114262
626	4097.796599
627	4095.219651
628	4091.217141
629	4089.973661
630	4087.492748
631	4085.661227
632	4081.910913
633	4077.625246
634	4074.25938
635	4064.970426
636	4062.719694
637	4057.23076
638	4050.365445
639	4048.61139
640	4047.401642
641	4042.984896
642	4040.421903
643	4030.847136
644	4030.708907
645	4025.641048
646	4020.599311
647	4014.386143
648	4013.77575
649	4011.888848
650	4009.533045
651	3999.12904
652	3995.472283
653	3985.258382
654	3982.458392
655	3978.010761
656	3969.342337
657	3966.016956
658	3961.380542
659	3959.426404
660	3957.268808
661	3956.477442
662	3954.54085
663	3953.442777
664	3948.337391
665	3946.338139
666	3937.142517
667	3931.934841
668	3925.448367
669	3924.19919
670	3921.096783
671	3920.97359
672	3917.64764
673	3913.386781
674	3911.778525
675	3906.566573
676	3904.658028
677	3903.206013
678	3899.695044
679	3896.735631
680	3895.213962
681	3895.062798
682	3894.915824
683	3893.674514
684	3893.150803
685	3893.048232
686	3892.907631
687	3887.414674
688	3887.165981
689	3883.578881
690	3883.389564
691	3874.874376
692	3874.385135
693	3873.278891
694	3865.241405
695	3861.525954
696	3860.021437
697	3856.825635
698	3854.208322
699	3853.258654
700	3848.389934
701	3847.588461
702	3846.211925
703	3841.713403
704	3837.773822
705	3836.338184
706	3835.285903
707	3835.093101
708	3829.091196
709	3821.43847
710	3817.084601
711	3815.456968
712	3813.106034
713	3811.837168
714	3806.87299
715	3805.208131
716	3801.004882
717	3797.908299
718	3795.682631
719	3791.758269
720	3789.013118
721	3787.45599
722	3786.852931
723	3786.010486
724	3785.860351
725	3783.718239
726	3783.496241
727	3783.406886
728	3782.306522
729	3781.32986
730	3778.49899
731	3777.417667
732	3777.214279
733	3774.434931
734	3767.053948
735	3765.700914
736	3758.107072
737	3755.492684
738	3751.858172
739	3751.221896
740	3749.087739
741	3747.493244
742	3747.313171
743	3740.451481
744	3740.369605
745	3739.172398
746	3736.166764
747	3736.049525
748	3734.87291
749	3733.648271
750	3731.450453
751	3730.146251
752	3728.661452
753	3721.24472
754	3720.706593
755	3715.987276
756	3713.348549
757	3711.295936
758	3711.172712
759	3711.069305
760	3710.944333
761	3709.415243
762	3704.592774
763	3704.505188
764	3699.231967
765	3699.105996
766	3696.783146
767	3690.461187
768	3685.387084
769	3683.937421
770	3679.552475
771	3676.475073
772	3673.930882
773	3667.210408
774	3660.141851
775	3654.549304
776	3654.004092
777	3652.457217
778	3652.338914
779	3649.27052
780	3648.103247
781	3647.693027
782	3643.037574
783	3638.92086
784	3638.607737
785	3635.399253
786	3634.769852
787	3634.265225
788	3632.04044
789	3628.60121
790	3625.145895
791	3625.035968
792	3623.153951
793	3623.06435
794	3620.972072
795	3614.291864
796	3610.916324
797	3607.79572
798	3607.474507
799	3606.11299
800	3605.705249
801	3604.655951
802	3597.999505
803	3597.007279
804	3593.396421
805	3593.1962
806	3591.072334
807	3585.444118
808	3585.359685
809	3585.279713
810	3583.510995
811	3583.405203
812	3582.335976
813	3581.764033
814	3579.755144
815	3579.633736
816	3574.334956
817	3571.689166
818	3569.379102
819	3568.112845
820	3565.163799
821	3564.703402
822	3563.299736
823	3561.982206
824	3561.647895
825	3556.616583
826	3553.708498
827	3552.168926
828	3551.746812
829	3542.701967
830	3541.294096
831	3536.786005
832	3535.466652
833	3528.62712
834	3524.806022
835	3521.232581
836	3518.724446
837	3516.862007
838	3516.232586
839	3513.77322
840	3513.11482
841	3512.690143
842	3510.913561
843	3510.476497
844	3510.422834
845	3507.066014
846	3506.929349
847	3502.517246
848	3500.576279
849	3496.860399
850	3491.442087
851	3489.579345
852	3486.219734
853	3485.029995
854	3480.304777
855	3480.274387
856	3480.218198
857	3479.728199
858	3478.208565
859	3478.094294
860	3476.837144
861	3476.032226
862	3472.164558
863	3469.514396
864	3468.217818
865	3464.08789
866	3461.913534
867	3459.392451
868	3454.826466
869	3454.759284
870	3454.277981
871	3452.6848
872	3452.602744
873	3450.910431
874	3450.569073
875	3446.972986
876	3446.549155
877	3441.565195
878	3441.176412
879	3439.332047
880	3438.514508
881	3438.475425
882	3437.20114
883	3436.541907
884	3436.2615
885	3434.490185
886	3433.526689
887	3431.970343
888	3428.16339
889	3427.308609
890	3427.265056
891	3425.603249
892	3425.243629
893	3421.896811
894	3421.844788
895	3421.718319
896	3416.234494
897	3415.670048
898	3413.669282
899	3412.997423
900	3409.554266
901	3403.865297
902	3402.941068
903	3401.230662
904	3398.179849
905	3397.130355
906	3397.045387
907	3396.797774
908	3395.766544
909	3395.729546
910	3395.676848
911	3394.005476
912	3389.246937
913	3385.660435
914	3382.390159
915	3378.937963
916	3373.399701
917	3373.098612
918	3371.179816
919	3370.14568
920	3370.096309
921	3367.073161
922	3362.978222
923	3360.484181
924	3359.973662
925	3359.030311
926	3356.443787
927	3356.335395
928	3354.465179
929	3353.486895
930	3349.355012
931	3349.277148
932	3349.041223
933	3346.41874
934	3345.585112
935	3345.065989
936	3341.546451
937	3341.49052
938	3340.79264
939	3340.402159
940	3337.328272
941	3336.708141
942	3335.356095
943	3333.971479
944	3331.766276
945	3328.759087
946	3324.344721
947	3324.19342
948	3323.272756
949	3322.543686
950	3316.355803
951	3315.338371
952	3313.039137
953	3312.30221
954	3311.871763
955	3309.343203
956	3304.328691
957	3303.147201
958	3300.372612
959	3300.056067
960	3298.370761
961	3298.301161
962	3297.70568
963	3296.511927
964	3291.617428
965	3290.788548
966	3290.271975
967	3288.751703
968	3286.407813
969	3286.352666
970	3285.808223
971	3285.291446
972	3282.876544
973	3282.62877
974	3280.545013
975	3279.876914
976	3277.8301
977	3276.670289
978	3273.916036
979	3269.858854
980	3267.501451
981	3264.724938
982	3264.515065
983	3262.354734
984	3258.42525
985	3257.893392
986	3257.588027
987	3254.930615
988	3254.35596
989	3253.949809
990	3253.43015
991	3248.993482
992	3248.06868
993	3245.568887
994	3245.09932
995	3244.974144
996	3243.82128
997	3242.552701
998	3241.014711
999	3239.502939
